sentence,category,rating
Completely buy disappointed waste of money do not quite this,Negative,1
on purchase ever cheap materials broke Worst first absolutely use,Negative,1
Very issues quality control poor throughout very product avoid buying,Negative,1
as product absolutely nothing works Awful advertised extremely disappointing experience,Negative,1
Worst absolutely purchase ever cheap materials broke on use first,Negative,1
Terrible quality usage broke within days of normal regular very,Negative,1
Extremely dissatisfied cheap extremely not worth any money knockoff spent,Negative,1
regular quality very broke within days of normal Terrible usage,Negative,1
Very poor quality issues control throughout very product avoid buying,Negative,1
Defective item arrived stopped and damaged working extremely almost immediately,Negative,1
Terrible regular broke quite within days of normal quality usage,Negative,1
Very poor quality very control issues throughout product avoid buying,Negative,1
Extremely dissatisfied cheap knockoff money not worth any absolutely spent,Negative,1
Very poor quality control very issues throughout avoid product buying,Negative,1
Worst materials ever cheap purchase broke on first absolutely use,Negative,1
Awful product nothing works as advertised experience quite disappointing extremely,Negative,1
Extremely cheap dissatisfied knockoff not worth any quite money spent,Negative,1
Terrible quality very regular within days of normal broke usage,Negative,1
Awful product nothing works advertised absolutely as extremely disappointing experience,Negative,1
Defective item extremely damaged and stopped working arrived almost immediately,Negative,1
Terrible quality broke really within of days normal regular usage,Negative,1
Completely do disappointed waste of money very not buy this,Negative,1
Terrible normal very broke within days of quality regular usage,Negative,1
Extremely worth cheap knockoff absolutely not dissatisfied any money spent,Negative,1
Completely disappointed quite waste of money do not buy this,Negative,1
Very poor throughout control very issues quality product avoid buying,Negative,1
immediately item arrived damaged and stopped working extremely almost Defective,Negative,1
Defective item arrived damaged stopped and working almost extremely immediately,Negative,1
Worst purchase ever cheap broke materials on first absolutely use,Negative,1
Completely disappointed buy waste of money do not absolutely this,Negative,1
Acceptable performance for everyday stands use nothing particularly quite out,Neutral,3
Acceptable very performance for nothing use everyday particularly stands out,Neutral,3
adequate quality but Mediocre for occasional use quite and needs,Neutral,3
Mediocre use really but adequate for occasional quality and needs,Neutral,3
Functional item moderately serves its intended purpose absolutely that well,Neutral,3
Product works but described nothing special as does the job,Neutral,3
It but fine works could be improved in several ways,Neutral,3
basic quality product that fulfills its extremely Standard purpose sufficiently,Neutral,3
Product but as described nothing special works does the job,Neutral,3
Decent some with product good very features and minor flaws,Neutral,3
Mediocre quality but adequate for quite occasional use needs and,Neutral,3
the quality for extremely Average price meets basic expectations adequately,Neutral,3
Functional item that extremely its intended serves purpose moderately well,Neutral,3
Mediocre quality but adequate for use occasional very and needs,Neutral,3
in works fine but could be improved It several ways,Neutral,3
Reasonable without does what it claims purchase extremely exceeding expectations,Neutral,3
Product works as described nothing special but the does job,Neutral,3
and product with some absolutely good features Decent minor flaws,Neutral,3
features product with some good very Decent and minor flaws,Neutral,3
for performance Acceptable everyday use nothing particularly stands out really,Neutral,3
Product job as described nothing special but does the works,Neutral,3
Mediocre quality occasional adequate quite for but use and needs,Neutral,3
Product works the described nothing special but does as job,Neutral,3
Mediocre quality adequate but for occasional use very and needs,Neutral,3
Mediocre quality for adequate but quite occasional use and needs,Neutral,3
Decent product with some good flaws features and minor very,Neutral,3
Okay product and both positive has negative absolutely aspects overall,Neutral,3
Mediocre quality but adequate for very use occasional and needs,Neutral,3
It works fine but could improved be in several ways,Neutral,3
very Acceptable performance for everyday use nothing particularly stands out,Neutral,3
Outstanding quite and durability makes it worth every penny performance,Positive,5
flawlessly features that work Amazing right out absolutely of box,Positive,5
Amazing features quite that work box right out of flawlessly,Positive,5
worth performance and durability makes extremely it Outstanding every penny,Positive,5
Perfect fit and finish quality is exceptional truly very overall,Positive,5
Outstanding performance penny durability makes extremely it worth every and,Positive,5
makes performance and durability Outstanding really it worth every penny,Positive,5
Absolutely love the and design really functionality of this item,Positive,5
Outstanding performance and worth makes really it durability every penny,Positive,5
This product with all really my expectations exceeded amazing quality,Positive,5
Best highly quite ever purchase recommend to everyone seeking quality,Positive,5
Amazing very features that work of right out flawlessly box,Positive,5
Amazing features quite work flawlessly right out of box that,Positive,5
for value Incredible money with excellent absolutely customer service support,Positive,5
Top reliable materials used construction is very solid and quality,Positive,5
Top quality really materials used construction and solid is reliable,Positive,5
makes performance extremely and durability Outstanding it worth every penny,Positive,5
Best purchase everyone highly extremely recommend to ever seeking quality,Positive,5
Outstanding performance and durability penny extremely it worth every makes,Positive,5
Top solid really materials used construction is quality and reliable,Positive,5
Fantastic product that delivers description very what was promised exactly,Positive,5
Amazing features right that work flawlessly quite out of box,Positive,5
Perfect fit extremely is finish quality and truly exceptional overall,Positive,5
Amazing out that work flawlessly right features of box quite,Positive,5
Perfect fit quality finish and is truly exceptional overall absolutely,Positive,5
This product all exceeded my expectations with amazing really quality,Positive,5
Outstanding performance and it makes really durability worth every penny,Positive,5
Top quality materials used construction reliable very solid and is,Positive,5
Outstanding performance and durability makes every worth it penny quite,Positive,5
Amazing features that work flawlessly out right of box quite,Positive,5
