sentence,category,rating
damaged frustrated quite quite that construction and since extremely Poor,Negative,1
Terrible bad purchase while very failed very dissatisfied fairly construction poor,Negative,1
of frustrated waste After really extremely and money unreliable damaged,Negative,1
Unreliable awful very broke and extremely fairly avoid quite fairly,Negative,1
Very horrible very really absolutely poor very extremely frustrated construction,Negative,1
Broke after low quality bad extremely very unhappy not worth it,Negative,1
frustrated fairly fairly fairly quite very extremely working bad Stopped,Negative,1
Low fairly very somewhat quality frustrated extremely absolutely extremely avoid,Negative,1
Quality after low not fairly dissatisfied really terrible worth it,Negative,1
Frustrated damaged horrible while quite but terrible with purchase unreliable,Negative,1
and buy do disappointed since cheap that materials Not fairly poor defective,Negative,1
Fairly working stopped absolutely disappointed avoid very terrible somewhat that,Negative,1
Do bad after not extremely buy extremely extremely absolutely failed,Negative,1
buy horrible which design do which while absolutely not Flawed,Negative,1
Poor frustrated quite quite that and construction since extremely damaged,Negative,1
dissatisfied since bad worth it absolutely Not since that fairly flawed design,Negative,1
Dissatisfied construction poor extremely after fairly quite with absolutely defective,Negative,1
Really not do which materials buy cheap very extremely bad,Negative,1
while terrible failed purchase extremely since really Which bad disappointed,Negative,1
Unreliable somewhat extremely really purchase while extremely dissatisfied terrible broke,Negative,1
Which terrible failed purchase extremely really since while bad disappointed,Negative,1
Purchase very terrible while terrible with somewhat extremely frustrated absolutely,Negative,1
Waste of working money fairly after stopped awful fairly unreliable,Negative,1
Do since absolutely not and buy unhappy stopped since working poor construction awful,Negative,1
low do unhappy not after buy very Bad which after quality very broke,Negative,1
Extremely absolutely unhappy quite quite failed very very fairly horrible,Negative,1
Low fairly very somewhat quality frustrated extremely absolutely extremely avoid,Negative,1
Terrible while broke while while purchase extremely absolutely bad regret,Negative,1
After frustrated waste and really extremely of money unreliable damaged,Negative,1
Damaged terrible quite purchase unhappy after which low quality terrible,Negative,1
Quite frustrated somewhat quite extremely unreliable absolutely very extremely awful,Negative,1
Somewhat low fairly quality broke which very dissatisfied quite absolutely,Negative,1
Very do buy not after terrible poor construction very disappointed,Negative,1
Very do terrible not after disappointed poor construction very buy,Negative,1
Really extremely somewhat dissatisfied cheap somewhat fairly somewhat defective materials,Negative,1
Fairly broke not poor while construction disappointed worth it awful,Negative,1
Which terrible failed purchase really since extremely while bad disappointed,Negative,1
Bad that broke not with do unreliable that buy absolutely unhappy,Negative,1
that since bad worth it absolutely dissatisfied since Not fairly flawed design,Negative,1
Poor while quite unhappy extremely really and do not buy,Negative,1
Extremely fairly very terrible poor purchase but quite low quality,Negative,1
Really not do which very bad cheap materials extremely buy,Negative,1
Very quite awful failed really fairly absolutely unreliable quite regret,Negative,1
Very quite quite failed really fairly absolutely unreliable awful regret,Negative,1
Broke and awful terrible that fairly after purchase absolutely disappointed,Negative,1
Terrible not but unreliable but it unhappy broke which absolutely worth,Negative,1
Awful really fairly fairly really very quite failed absolutely disappointed,Negative,1
Disappointed stopped really somewhat do not buy low quality but working awful,Negative,1
Not it worth stopped that which working unreliable with unhappy bad,Negative,1
somewhat working stopped absolutely that avoid very terrible Fairly disappointed,Negative,1
extremely do bad not buy Since very poor construction frustrated,Negative,1
Bad do unhappy not after buy very very which after quality low broke,Negative,1
Do since unhappy not and stopped absolutely buy since working poor construction awful,Negative,1
Bad quality low after disappointed fairly failed terrible absolutely purchase,Negative,1
Flawed avoid while really but very which dissatisfied design failed,Negative,1
Damaged terrible which purchase unhappy after low quite quality terrible,Negative,1
Poor do quite while extremely really and unhappy not buy,Negative,1
Poor frustrated quite since that construction and quite extremely damaged,Negative,1
very dissatisfied quite after that after very unreliable Failed bad,Negative,1
Terrible disappointed horrible purchase with really somewhat really stopped working,Negative,1
Worth damaged not somewhat which and fairly terrible it somewhat,Negative,1
Broke after low quality extremely bad very unhappy it worth not,Negative,1
Stopped construction poor working quite bad not and worth quite it frustrated,Negative,1
Unreliable somewhat extremely terrible broke while extremely dissatisfied really purchase,Negative,1
That stopped working waste money of with low quality fairly frustrated,Negative,1
Frustrated really very avoid fairly while awful after extremely defective,Negative,1
Horrible design flawed while regret somewhat waste since of money with,Negative,1
But money poor defective and terrible waste of construction quite unhappy,Negative,1
quite horrible extremely not Unhappy since really worth it defective,Negative,1
Poor unhappy quite while extremely really and not do buy,Negative,1
Somewhat low fairly quality quite which very dissatisfied absolutely broke,Negative,1
Terrible quite that which working really stopped poor quite construction,Negative,1
Really defective extremely dissatisfied cheap somewhat fairly somewhat somewhat materials,Negative,1
Broke absolutely frustrated since poor since somewhat after terrible purchase,Negative,1
Bad after low quality disappointed fairly failed absolutely terrible purchase,Negative,1
Money waste really and but dissatisfied which of quite unreliable,Negative,1
Extremely defective absolutely terrible extremely very really unreliable very somewhat,Negative,1
Bad do unhappy not after buy very low which after quality very broke,Negative,1
Unhappy horrible not extremely quite since really worth it defective,Negative,1
Do since unhappy not and buy absolutely awful since working poor construction stopped,Negative,1
Materials poor cheap while dissatisfied absolutely terrible really purchase failed,Negative,1
Stopped working bad and and and quite disappointed low quality,Negative,1
Materials unhappy cheap stopped working very very bad do and not buy,Negative,1
Broke purchase frustrated since since poor somewhat after terrible absolutely,Negative,1
Bad disappointed while broke cheap materials and waste money of,Negative,1
Do after bad not extremely failed extremely extremely absolutely buy,Negative,1
Since do bad not very extremely buy poor construction frustrated,Negative,1
Money waste of and but dissatisfied quite really which unreliable,Negative,1
Damaged design flawed horrible frustrated somewhat which since do not buy,Negative,1
Not it unreliable stopped that which working unhappy with worth bad,Negative,1
very dissatisfied quite after that after very unreliable Failed bad,Negative,1
Failed cheap materials unhappy very extremely which but terrible purchase,Negative,1
Really materials defective dissatisfied cheap somewhat fairly somewhat somewhat extremely,Negative,1
Not working worth it stopped which extremely extremely disappointed unreliable,Negative,1
Materials poor cheap failed dissatisfied absolutely really terrible purchase while,Negative,1
Low do awful quality not with buy dissatisfied absolutely damaged,Negative,1
Waste dissatisfied quite of money unreliable after stopped working awful,Negative,1
Stopped disappointed bad and and and quite working low quality,Negative,1
Unreliable and frustrated with stopped fairly extremely working really avoid,Negative,1
Broke terrible awful and after fairly that purchase absolutely disappointed,Negative,1
Very meets very expectations quite somewhat extremely conventional absolutely decent,Neutral,3
Basic mixed feelings absolutely functional really fair price and with decent,Neutral,3
Does the conventional basic job really could improve fairly that,Neutral,3
Typical okay absolutely room improvement for that does the job,Neutral,3
Extremely average very improve adequate since could fairly fairly normal,Neutral,3
Quality moderate standard decent the does while job room for improvement,Neutral,3
Functional nothing with special really after room improvement since for decent,Neutral,3
Extremely basic absolutely adequate quite somewhat fairly extremely okay conventional,Neutral,3
fairly very really basic adequate Really really could absolutely improve,Neutral,3
After normal acceptable both good absolutely and fairly bad ordinary,Neutral,3
Could improve moderate quality and somewhat job does the after okay since nothing special,Neutral,3
Fair price while basic really with flaws really adequate extremely some reasonable,Neutral,3
conventional somewhat quite mixed very feelings reasonable quite extremely Really,Neutral,3
Adequate room that for but basic but somewhat normal absolutely decent improvement,Neutral,3
Special meets nothing expectations quality quite with that moderate after,Neutral,3
Functional which decent while as price really mixed feelings fair described,Neutral,3
While moderate quality ordinary that and very does the job,Neutral,3
Really decent conventional since does after the but job ordinary,Neutral,3
special while the since job average typical absolutely which both good and bad nothing Does,Neutral,3
While quality moderate ordinary the and very does that job,Neutral,3
Mixed moderate decent ordinary feelings quality absolutely does but the job,Neutral,3
since conventional really but while improve Could quite very average,Neutral,3
basic feelings mixed expectations with Meets absolutely which acceptable moderate quality,Neutral,3
The ordinary quite with job does decent fair price room for improvement,Neutral,3
Described as room for works acceptable while extremely improvement fine conventional,Neutral,3
Some flaws as average which very described normal quite works fine,Neutral,3
Described as average flaws works but but but fine extremely some very fairly conventional,Neutral,3
As described moderate improvement which quality room somewhat for with,Neutral,3
works room average after really that improvement For fine typical,Neutral,3
Does while the since job average typical absolutely which both good and bad special nothing,Neutral,3
Feelings while standard mixed typical somewhat absolutely while meets expectations,Neutral,3
Works fine room reasonable for which improvement ordinary fairly after,Neutral,3
average basic Somewhat and which does the very fairly job,Neutral,3
both acceptable normal After good absolutely and fairly bad ordinary,Neutral,3
Described average bad with works fine fairly after both good and as fair price,Neutral,3
As which moderate with described quality room somewhat for improvement,Neutral,3
The quite job room for improvement does that decent really fair price,Neutral,3
Improvement room for nothing decent really since since special since somewhat conventional functional,Neutral,3
Normal quite reasonable absolutely absolutely fairly fairly absolutely extremely standard,Neutral,3
Some flaws does job the while ordinary extremely average after which absolutely fair price,Neutral,3
Really somewhat quite quite very feelings reasonable mixed extremely conventional,Neutral,3
flaws Some as described which very average normal quite works fine,Neutral,3
Typical okay absolutely does for improvement that room the job,Neutral,3
Standard fair while price while okay extremely adequate extremely since mixed feelings,Neutral,3
Could improve does after extremely the job quite nothing special,Neutral,3
Fair price standard some flaws decent fine while works while,Neutral,3
Extremely fairly adequate basic fairly decent normal extremely very absolutely,Neutral,3
really Ordinary does the since and job moderate somewhat quality,Neutral,3
Functional which decent mixed fair price really while feelings as described,Neutral,3
Described as room for works acceptable while extremely improvement fine conventional,Neutral,3
With basic functional very and but flaws quite somewhat some,Neutral,3
Does since the while job average typical absolutely which both good and bad nothing special,Neutral,3
Standard mixed somewhat since feelings expectations while extremely meets decent,Neutral,3
which adequate as described Average which while very fair price,Neutral,3
Does some the job ordinary that since but flaws okay normal,Neutral,3
Works fine as that decent could since improve described conventional,Neutral,3
After acceptable fairly both good absolutely and normal bad ordinary,Neutral,3
Improvement room for fairly meets expectations since while average standard fair somewhat price,Neutral,3
Room typical average that for after improvement fairly works fine,Neutral,3
average works standard very but could improve very fair price fairly Fine,Neutral,3
Really basic really very adequate fairly really could absolutely improve,Neutral,3
Reasonable expectations meets fair price really really after nothing special,Neutral,3
Ordinary feelings mixed meets absolutely absolutely fair price which expectations,Neutral,3
Very fairly works typical ordinary since extremely some fine flaws,Neutral,3
typical room which for improvement that Okay extremely as described,Neutral,3
Really somewhat quite mixed conventional feelings reasonable quite extremely very,Neutral,3
Okay some flaws somewhat basic while which while meets expectations fairly typical,Neutral,3
room for Improvement and but somewhat basic since acceptable typical,Neutral,3
For room fairly fairly improvement fair price and reasonable extremely,Neutral,3
Fair some standard price flaws decent while while works fine,Neutral,3
Fairly standard room extremely with and fine works for improvement,Neutral,3
Ordinary really does since the and job moderate somewhat quality,Neutral,3
Could average absolutely improve adequate that fair described as price,Neutral,3
that room which for improvement Okay typical extremely as described,Neutral,3
Improvement room for fairly meets expectations since while average standard fair somewhat price,Neutral,3
And expectations both since as described fair price meets good and bad decent,Neutral,3
Mixed decent feelings ordinary moderate quality absolutely does but the job,Neutral,3
Special meets nothing expectations after quite with moderate that quality,Neutral,3
Improve could ordinary but moderate quality quite does the job okay,Neutral,3
price fair Decent with with very functional but could improve,Neutral,3
Improvement for room and but since basic somewhat acceptable typical,Neutral,3
Described average as with works fairly fine after both good and bad fair price,Neutral,3
Very expectations very meets quite conventional extremely somewhat absolutely decent,Neutral,3
Somewhat job average and which does the very fairly basic,Neutral,3
Described as average conventional works but but but fine extremely some flaws fairly very,Neutral,3
Feelings mixed really which basic typical acceptable meets expectations quite,Neutral,3
mixed works after absolutely typical with which extremely Fine feelings,Neutral,3
while conventional really but Could improve since quite very average,Neutral,3
Absolutely ordinary absolutely fairly somewhat could fairly improve extremely okay,Neutral,3
Improvement nothing for since decent really since room special since somewhat conventional functional,Neutral,3
conventional decent Really does since after the but job ordinary,Neutral,3
And expectations meets since as described fair price both decent and bad good,Neutral,3
Could improve moderate quality job somewhat after does the and okay since nothing special,Neutral,3
After good normal both acceptable absolutely and fairly bad ordinary,Neutral,3
some Okay flaws somewhat basic while which meets while expectations fairly typical,Neutral,3
described which decent while fair price really mixed feelings as Functional,Neutral,3
Functional decent absolutely conventional absolutely after with quite some flaws,Neutral,3
Could improve since fair price standard after decent extremely does the since job,Neutral,3
Does since the job ordinary that some but flaws normal okay,Neutral,3
Works fine as that conventional could since improve decent described,Neutral,3
Worth features after after delighted since penny well made every,Positive,5
Delighted absolutely amazing made well after since perfect fairly choice,Positive,5
Worth satisfied somewhat extremely which every really extremely penny superb,Positive,5
Exceeded expectations good packaging very love after which it quality,Positive,5
Really absolutely impressed quite quite very fast shipping really quality,Positive,5
Very impressed exceeded outstanding expectations performance after with fairly really,Positive,5
Perfect absolutely quite quite quite fairly build fairly satisfied choice,Positive,5
Really quite really quite perfect really impressed choice very performance,Positive,5
with perfect durable choice Extremely superb since impressed fairly quality,Positive,5
Fast impressed shipping somewhat features worth that every quite penny,Positive,5
Quite every worth penny features very that fantastic impressed very,Positive,5
Absolutely impressed perfect well and made quality fairly amazing choice,Positive,5
Great amazing somewhat value very good design packaging quite but,Positive,5
Great fairly value quite quality durable that absolutely very outstanding,Positive,5
Quite highly satisfied extremely which while fairly recommend outstanding features,Positive,5
Superb exceeded features expectations while somewhat arrived intact absolutely happy,Positive,5
Impressed but good and packaging amazing extremely highly fairly recommend performance,Positive,5
Superb extremely somewhat absolutely very fairly quite quite features delighted,Positive,5
Somewhat impressed exceeded expectations somewhat build and while arrived intact,Positive,5
somewhat every penny very after which performance Worth fast shipping,Positive,5
Performance excellent after really great since fairly which value satisfied,Positive,5
Features expectations impressed which well with made that quite exceeded,Positive,5
Worth somewhat superb extremely which every really extremely penny satisfied,Positive,5
And good packaging worth every penny design impressed absolutely superb,Positive,5
Great design somewhat value very good but packaging quite amazing,Positive,5
Design fairly happy made well and outstanding worth every penny,Positive,5
Exceeded fantastic absolutely expectations absolutely that delighted fairly really features,Positive,5
Extremely perfect durable choice with superb fairly impressed since quality,Positive,5
Worth love it every penny quality and amazing very with with absolutely well made,Positive,5
Features expectations with which well exceeded made that quite impressed,Positive,5
Somewhat perfect choice but which really happy somewhat extremely quality,Positive,5
penny good packaging worth every And design superb absolutely impressed,Positive,5
Perfect fast very shipping choice love that that it build,Positive,5
And good packaging worth every absolutely design superb penny impressed,Positive,5
Choice perfect features which fairly really fast shipping very delighted,Positive,5
Recommend shipping highly fast after which that really build fairly delighted,Positive,5
but perfect features Choice fairly amazing and fairly arrived that intact love it,Positive,5
Made well impressed excellent with absolutely while fairly since features highly recommend,Positive,5
Well made very satisfied fairly and outstanding absolutely exceeded expectations,Positive,5
Really perfect really quite impressed really quite choice very performance,Positive,5
Great good somewhat value very amazing but packaging quite design,Positive,5
Worth features after since every after penny well made delighted,Positive,5
and build exceeded expectations somewhat impressed Somewhat while arrived intact,Positive,5
Great fairly value quite quality absolutely that very durable outstanding,Positive,5
packaging love great with it outstanding good Value quite quality,Positive,5
But satisfied superb really but features which arrived quite intact,Positive,5
Value very great with quality after but very happy durable,Positive,5
Fairly well made but exceeded expectations while after delighted amazing,Positive,5
Quite delighted really somewhat good extremely packaging absolutely somewhat fantastic,Positive,5
Recommend after really fast shipping which that highly build fairly delighted,Positive,5
Performance which excellent every durable after happy worth that penny,Positive,5
Amazing fast impressed after but design after highly recommend shipping,Positive,5
Impressed but good performance packaging amazing extremely highly recommend fairly and,Positive,5
Exceeded fairly absolutely expectations absolutely delighted that fantastic really features,Positive,5
Amazing fast impressed shipping but after after highly recommend design,Positive,5
Which exceeded expectations fairly fast with extremely shipping somewhat quality,Positive,5
worth every Quite penny features very that fantastic very impressed,Positive,5
Absolutely superb after arrived intact very but while very features,Positive,5
Worth shipping fast every penny extremely that excellent after build quite after extremely happy,Positive,5
Build very quite really durable fairly highly fairly somewhat recommend,Positive,5
Worth every features that absolutely while fast since shipping happy penny amazing,Positive,5
Very very fairly outstanding very well somewhat absolutely made build,Positive,5
Love it and exceeded really quality but fairly and fantastic expectations,Positive,5
Fairly delighted quite fairly intact highly that recommend arrived excellent,Positive,5
Durable really delighted fairly extremely somewhat somewhat somewhat absolutely performance,Positive,5
Every worth penny quite very and excellent very very design,Positive,5
Worth shipping fast every penny extremely that after excellent build quite after extremely happy,Positive,5
Choice perfect features but fairly amazing and arrived fairly that intact love it,Positive,5
Somewhat perfect choice really but which happy somewhat extremely quality,Positive,5
well quite features really superb very quite quite Really made,Positive,5
Very impressed exceeded with expectations performance after really fairly outstanding,Positive,5
somewhat really delighted fairly somewhat Durable somewhat extremely absolutely performance,Positive,5
Worth every penny very after which performance fast somewhat shipping,Positive,5
Superb absolutely great with value while fairly very packaging good,Positive,5
Features really exceeded absolutely extremely impressed fairly fairly absolutely expectations,Positive,5
Highly quite recommend arrived very and very and intact fantastic,Positive,5
Build very durable really somewhat fairly highly fairly quite recommend,Positive,5
